date,venue,teams,toss_winner,toss_decision,match_winner,players
2014-04-23,Dubai International Cricket Stadium,"('Chennai Super Kings', 'Rajasthan Royals')",Rajasthan Royals,field,Chennai Super Kings,"(('BB McCullum', 'BW Hilfenhaus', 'DR Smith', 'F du Plessis', 'IC Pandey', 'M Manhas', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('AM Nayar', 'AM Rahane', 'DS Kulkarni', 'JP Faulkner', 'PV Tambe', 'R Bhatia', 'SPD Smith', 'SR Watson', 'STR Binny', 'SV Samson', 'TG Southee'))"
2019-03-24,Wankhede Stadium,"('Delhi Capitals', 'Mumbai Indians')",Mumbai Indians,field,Delhi Capitals,"(('AR Patel', 'CA Ingram', 'I Sharma', 'K Rabada', 'KMA Paul', 'PP Shaw', 'R Tewatia', 'RR Pant', 'S Dhawan', 'SS Iyer', 'TA Boult'), ('BCJ Cutting', 'HH Pandya', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'MJ McClenaghan', 'Q de Kock', 'RG Sharma', 'Rasikh Salam', 'SA Yadav', 'Yuvraj Singh'))"
2022-04-27,"Wankhede Stadium, Mumbai","('Gujarat Titans', 'Sunrisers Hyderabad')",Gujarat Titans,field,Gujarat Titans,"(('A Manohar', 'AS Joseph', 'DA Miller', 'HH Pandya', 'LH Ferguson', 'Mohammed Shami', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'WP Saha', 'Yash Dayal'), ('AK Markram', 'Abhishek Sharma', 'B Kumar', 'KS Williamson', 'M Jansen', 'N Pooran', 'RA Tripathi', 'Shashank Singh', 'T Natarajan', 'Umran Malik', 'Washington Sundar'))"
2012-05-17,Feroz Shah Kotla,"('Delhi Daredevils', 'Royal Challengers Bangalore')",Delhi Daredevils,field,Royal Challengers Bangalore,"(('AD Russell', 'DA Warner', 'DPMD Jayawardene', 'IK Pathan', 'LRPL Taylor', 'NV Ojha', 'P Negi', 'UBT Chand', 'UT Yadav', 'VR Aaron', 'Y Venugopal Rao'), ('AB de Villiers', 'CH Gayle', 'HV Patel', 'M Muralitharan', 'MA Agarwal', 'P Parameswaran', 'R Vinay Kumar', 'SS Tiwary', 'TM Dilshan', 'V Kohli', 'Z Khan'))"
2008-05-17,Feroz Shah Kotla,"('Delhi Daredevils', 'Kings XI Punjab')",Delhi Daredevils,bat,Kings XI Punjab,"(('A Mishra', 'G Gambhir', 'GD McGrath', 'KD Karthik', 'MF Maharoof', 'PJ Sangwan', 'R Bhatia', 'S Dhawan', 'Shoaib Malik', 'TM Dilshan', 'V Sehwag'), ('DPMD Jayawardene', 'IK Pathan', 'JR Hopes', 'LA Pomersbach', 'PP Chawla', 'RR Powar', 'S Sreesanth', 'SE Marsh', 'U Kaul', 'VRV Singh', 'Yuvraj Singh'))"
2011-05-15,Holkar Cricket Stadium,"('Kochi Tuskers Kerala', 'Rajasthan Royals')",Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,"(('BB McCullum', 'BJ Hodge', 'DPMD Jayawardene', 'OA Shah', 'P Parameswaran', 'P Prasanth', 'PA Patel', 'RA Jadeja', 'RP Singh', 'S Sreesanth', 'Y Gnaneswara Rao'), ('AA Chavan', 'AL Menaria', 'AM Rahane', 'FY Fazal', 'JDP Oram', 'ND Doshi', 'PR Shah', 'R Dravid', 'SK Warne', 'SR Watson', 'SW Tait'))"
2021-10-02,Sharjah Cricket Stadium,"('Delhi Capitals', 'Mumbai Indians')",Delhi Capitals,field,Delhi Capitals,"(('A Nortje', 'AR Patel', 'Avesh Khan', 'K Rabada', 'PP Shaw', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SPD Smith', 'SS Iyer'), ('HH Pandya', 'J Yadav', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'NM Coulter-Nile', 'Q de Kock', 'RG Sharma', 'SA Yadav', 'SS Tiwary', 'TA Boult'))"
2015-05-19,Wankhede Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Mumbai Indians,bat,Mumbai Indians,"(('A Nehra', 'DJ Bravo', 'DR Smith', 'F du Plessis', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'P Negi', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('AT Rayudu', 'HH Pandya', 'Harbhajan Singh', 'J Suchith', 'KA Pollard', 'LMP Simmons', 'MJ McClenaghan', 'PA Patel', 'R Vinay Kumar', 'RG Sharma', 'SL Malinga'))"
2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","('Punjab Kings', 'Sunrisers Hyderabad')",Punjab Kings,field,Sunrisers Hyderabad,"(('Arshdeep Singh', 'Ashutosh Sharma', 'HV Patel', 'Harpreet Brar', 'JM Bairstow', 'JM Sharma', 'K Rabada', 'P Simran Singh', 'S Dhawan', 'SM Curran', 'Shashank Singh', 'Sikandar Raza'), ('AK Markram', 'Abdul Samad', 'Abhishek Sharma', 'B Kumar', 'H Klaasen', 'JD Unadkat', 'Nithish Kumar Reddy', 'PJ Cummins', 'RA Tripathi', 'Shahbaz Ahmed', 'T Natarajan', 'TM Head'))"
2023-04-23,"Eden Gardens, Kolkata","('Chennai Super Kings', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Chennai Super Kings,"(('AM Rahane', 'AT Rayudu', 'Akash Singh', 'DP Conway', 'M Pathirana', 'M Theekshana', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'S Dube', 'TU Deshpande'), ('AD Russell', 'CV Varun', 'D Wiese', 'JJ Roy', 'K Khejroliya', 'N Jagadeesan', 'N Rana', 'RK Singh', 'SP Narine', 'Suyash Sharma', 'UT Yadav', 'VR Iyer'))"
2009-05-09,De Beers Diamond Oval,"('Chennai Super Kings', 'Rajasthan Royals')",Rajasthan Royals,bat,Chennai Super Kings,"(('JA Morkel', 'JDP Oram', 'L Balaji', 'M Muralitharan', 'M Vijay', 'ML Hayden', 'MS Dhoni', 'S Badrinath', 'S Tyagi', 'SB Jakati', 'SK Raina'), ('A Singh', 'AS Raut', 'GC Smith', 'LA Carseldine', 'NV Ojha', 'RA Jadeja', 'SA Asnodkar', 'SK Trivedi', 'SK Warne', 'SM Harwood', 'YK Pathan'))"
2016-04-24,Maharashtra Cricket Association Stadium,"('Kolkata Knight Riders', 'Rising Pune Supergiants')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('AD Russell', 'G Gambhir', 'M Morkel', 'PP Chawla', 'R Sathish', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'Shakib Al Hasan', 'UT Yadav', 'YK Pathan'), ('AM Rahane', 'Ankit Sharma', 'F du Plessis', 'JA Morkel', 'M Ashwin', 'MS Dhoni', 'NLTC Perera', 'R Ashwin', 'R Bhatia', 'SPD Smith', 'SS Tiwary'))"
2022-03-27,"Dr DY Patil Sports Academy, Mumbai","('Punjab Kings', 'Royal Challengers Bangalore')",Punjab Kings,field,Punjab Kings,"(('Arshdeep Singh', 'Harpreet Brar', 'LS Livingstone', 'M Shahrukh Khan', 'MA Agarwal', 'OF Smith', 'PBB Rajapaksa', 'RA Bawa', 'RD Chahar', 'S Dhawan', 'Sandeep Sharma'), ('Akash Deep', 'Anuj Rawat', 'DJ Willey', 'F du Plessis', 'HV Patel', 'KD Karthik', 'Mohammed Siraj', 'PWH de Silva', 'SE Rutherford', 'Shahbaz Ahmed', 'V Kohli'))"
2018-04-19,Punjab Cricket Association IS Bindra Stadium,"('Kings XI Punjab', 'Sunrisers Hyderabad')",Kings XI Punjab,bat,Kings XI Punjab,"(('AJ Finch', 'AJ Tye', 'BB Sran', 'CH Gayle', 'KK Nair', 'KL Rahul', 'MA Agarwal', 'MM Sharma', 'Mujeeb Ur Rahman', 'R Ashwin', 'Yuvraj Singh'), ('B Kumar', 'CJ Jordan', 'DJ Hooda', 'KS Williamson', 'MK Pandey', 'Rashid Khan', 'S Dhawan', 'S Kaul', 'Shakib Al Hasan', 'WP Saha', 'YK Pathan'))"
2025-04-13,"Arun Jaitley Stadium, Delhi","('Delhi Capitals', 'Mumbai Indians')",Delhi Capitals,field,Mumbai Indians,"(('AR Patel', 'Abishek Porel', 'Ashutosh Sharma', 'J Fraser-McGurk', 'KK Nair', 'KL Rahul', 'Kuldeep Yadav', 'MA Starc', 'MM Sharma', 'Mukesh Kumar', 'T Stubbs', 'V Nigam'), ('DL Chahar', 'HH Pandya', 'JJ Bumrah', 'KV Sharma', 'MJ Santner', 'Naman Dhir', 'RD Rickelton', 'RG Sharma', 'SA Yadav', 'TA Boult', 'Tilak Varma', 'WG Jacks'))"
2014-05-07,Feroz Shah Kotla,"('Delhi Daredevils', 'Kolkata Knight Riders')",Delhi Daredevils,bat,Kolkata Knight Riders,"(('JP Duminy', 'KD Karthik', 'KM Jadhav', 'KP Pietersen', 'LR Shukla', 'M Vijay', 'Mohammed Shami', 'Q de Kock', 'S Kaul', 'S Nadeem', 'WD Parnell'), ('G Gambhir', 'JH Kallis', 'MK Pandey', 'R Vinay Kumar', 'RN ten Doeschate', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'Shakib Al Hasan', 'UT Yadav', 'YK Pathan'))"
2019-04-10,Wankhede Stadium,"('Kings XI Punjab', 'Mumbai Indians')",Mumbai Indians,field,Mumbai Indians,"(('AS Rajpoot', 'CH Gayle', 'DA Miller', 'GC Viljoen', 'KK Nair', 'KL Rahul', 'Mandeep Singh', 'Mohammed Shami', 'R Ashwin', 'SM Curran', 'SN Khan'), ('AS Joseph', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'JP Behrendorff', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'SA Yadav', 'SD Lad'))"
2016-05-27,Feroz Shah Kotla,"('Gujarat Lions', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Sunrisers Hyderabad,"(('AJ Finch', 'BB McCullum', 'DJ Bravo', 'DR Smith', 'DS Kulkarni', 'ER Dwivedi', 'KD Karthik', 'P Kumar', 'RA Jadeja', 'S Kaushik', 'SK Raina'), ('B Kumar', 'BB Sran', 'BCJ Cutting', 'Bipul Sharma', 'DA Warner', 'DJ Hooda', 'MC Henriques', 'NV Ojha', 'S Dhawan', 'TA Boult', 'Yuvraj Singh'))"
2025-05-03,"M Chinnaswamy Stadium, Bengaluru","('Chennai Super Kings', 'Royal Challengers Bengaluru')",Chennai Super Kings,field,Royal Challengers Bengaluru,"(('A Kamboj', 'A Mhatre', 'D Brevis', 'DJ Hooda', 'KK Ahmed', 'M Pathirana', 'MS Dhoni', 'Noor Ahmad', 'RA Jadeja', 'S Dube', 'SK Rasheed', 'SM Curran'), ('B Kumar', 'D Padikkal', 'JG Bethell', 'JM Sharma', 'KH Pandya', 'L Ngidi', 'R Shepherd', 'RM Patidar', 'Suyash Sharma', 'TH David', 'V Kohli', 'Yash Dayal'))"
2018-05-07,Rajiv Gandhi International Stadium,"('Royal Challengers Bangalore', 'Sunrisers Hyderabad')",Royal Challengers Bangalore,field,Sunrisers Hyderabad,"(('AB de Villiers', 'C de Grandhomme', 'M Vohra', 'MM Ali', 'Mandeep Singh', 'Mohammed Siraj', 'PA Patel', 'TG Southee', 'UT Yadav', 'V Kohli', 'YS Chahal'), ('AD Hales', 'B Kumar', 'KS Williamson', 'MK Pandey', 'Rashid Khan', 'S Dhawan', 'S Kaul', 'Sandeep Sharma', 'Shakib Al Hasan', 'WP Saha', 'YK Pathan'))"
2016-05-11,M Chinnaswamy Stadium,"('Mumbai Indians', 'Royal Challengers Bangalore')",Mumbai Indians,field,Mumbai Indians,"(('AT Rayudu', 'Harbhajan Singh', 'JC Buttler', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'MJ McClenaghan', 'N Rana', 'PA Patel', 'RG Sharma', 'TG Southee'), ('AB de Villiers', 'CH Gayle', 'CJ Jordan', 'KL Rahul', 'S Aravind', 'SR Watson', 'STR Binny', 'Sachin Baby', 'V Kohli', 'VR Aaron', 'YS Chahal'))"
2021-04-25,"MA Chidambaram Stadium, Chepauk, Chennai","('Delhi Capitals', 'Sunrisers Hyderabad')",Delhi Capitals,bat,no-result,"(('A Mishra', 'AR Patel', 'Avesh Khan', 'K Rabada', 'MP Stoinis', 'PP Shaw', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SPD Smith'), ('Abhishek Sharma', 'DA Warner', 'J Suchith', 'JM Bairstow', 'KK Ahmed', 'KM Jadhav', 'KS Williamson', 'Rashid Khan', 'S Kaul', 'V Shankar', 'Virat Singh'))"
2023-05-08,"Eden Gardens, Kolkata","('Kolkata Knight Riders', 'Punjab Kings')",Punjab Kings,bat,Kolkata Knight Riders,"(('AD Russell', 'CV Varun', 'Harshit Rana', 'JJ Roy', 'N Rana', 'RK Singh', 'Rahmanullah Gurbaz', 'SN Thakur', 'SP Narine', 'Suyash Sharma', 'VG Arora', 'VR Iyer'), ('Arshdeep Singh', 'Harpreet Brar', 'JM Sharma', 'LS Livingstone', 'M Shahrukh Khan', 'NT Ellis', 'P Simran Singh', 'PBB Rajapaksa', 'R Dhawan', 'RD Chahar', 'S Dhawan', 'SM Curran'))"
2009-05-22,SuperSport Park,"('Deccan Chargers', 'Delhi Daredevils')",Deccan Chargers,field,Deccan Chargers,"(('A Symonds', 'AA Bilakhia', 'AC Gilchrist', 'HH Gibbs', 'Harmeet Singh', 'PP Ojha', 'RG Sharma', 'RJ Harris', 'RP Singh', 'TL Suman', 'Y Venugopal Rao'), ('A Mishra', 'A Nehra', 'AB de Villiers', 'DA Warner', 'DP Nannes', 'G Gambhir', 'KD Karthik', 'PJ Sangwan', 'R Bhatia', 'TM Dilshan', 'V Sehwag'))"
2021-09-26,"Zayed Cricket Stadium, Abu Dhabi","('Chennai Super Kings', 'Kolkata Knight Riders')",Kolkata Knight Riders,bat,Chennai Super Kings,"(('AT Rayudu', 'DL Chahar', 'F du Plessis', 'JR Hazlewood', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'SK Raina', 'SM Curran', 'SN Thakur'), ('AD Russell', 'CV Varun', 'EJG Morgan', 'KD Karthik', 'LH Ferguson', 'M Prasidh Krishna', 'N Rana', 'RA Tripathi', 'SP Narine', 'Shubman Gill', 'VR Iyer'))"
2018-05-14,Holkar Cricket Stadium,"('Kings XI Punjab', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('AJ Finch', 'AJ Tye', 'AR Patel', 'AS Rajpoot', 'CH Gayle', 'KK Nair', 'KL Rahul', 'MA Agarwal', 'MM Sharma', 'MP Stoinis', 'R Ashwin'), ('AB de Villiers', 'C de Grandhomme', 'MM Ali', 'Mandeep Singh', 'Mohammed Siraj', 'PA Patel', 'SN Khan', 'TG Southee', 'UT Yadav', 'V Kohli', 'YS Chahal'))"
2008-05-25,"Rajiv Gandhi International Stadium, Uppal","('Deccan Chargers', 'Royal Challengers Bangalore')",Deccan Chargers,bat,Royal Challengers Bangalore,"(('AC Gilchrist', 'AS Yadav', 'DB Ravi Teja', 'DP Vijaykumar', 'HH Gibbs', 'LPC Silva', 'RG Sharma', 'RP Singh', 'SB Bangar', 'WPUJC Vaas', 'Y Venugopal Rao'), ('A Kumble', 'B Akhil', 'CL White', 'DW Steyn', 'JH Kallis', 'Misbah-ul-Haq', 'R Dravid', 'R Vinay Kumar', 'SP Goswami', 'V Kohli', 'W Jaffer'))"
2012-05-04,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Deccan Chargers')",Chennai Super Kings,bat,Chennai Super Kings,"(('BW Hilfenhaus', 'DJ Bravo', 'F du Plessis', 'JA Morkel', 'M Vijay', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SB Jakati', 'SK Raina'), ('A Ashish Reddy', 'A Mishra', 'AA Jhunjhunwala', 'Ankit Sharma', 'CL White', 'DT Christian', 'DW Steyn', 'KC Sangakkara', 'PA Patel', 'S Dhawan', 'V Pratap Singh'))"
2009-05-12,SuperSport Park,"('Kolkata Knight Riders', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('AB Agarkar', 'AD Mathews', 'AN Ghosh', 'BAW Mendis', 'BB McCullum', 'DJ Hussey', 'I Sharma', 'M Kartik', 'SC Ganguly', 'WP Saha', 'Yashpal Singh'), ('A Kumble', 'B Akhil', 'JD Ryder', 'JH Kallis', 'KP Appanna', 'LRPL Taylor', 'MV Boucher', 'R Dravid', 'R Vinay Kumar', 'RV Uthappa', 'V Kohli'))"
2023-05-12,"Wankhede Stadium, Mumbai","('Gujarat Titans', 'Mumbai Indians')",Gujarat Titans,field,Mumbai Indians,"(('A Manohar', 'AS Joseph', 'DA Miller', 'HH Pandya', 'MM Sharma', 'Mohammed Shami', 'Noor Ahmad', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'V Shankar', 'WP Saha'), ('Akash Madhwal', 'C Green', 'CJ Jordan', 'Ishan Kishan', 'JP Behrendorff', 'K Kartikeya', 'N Wadhera', 'PP Chawla', 'RG Sharma', 'SA Yadav', 'TH David', 'Vishnu Vinod'))"
2021-04-12,"Wankhede Stadium, Mumbai","('Punjab Kings', 'Rajasthan Royals')",Rajasthan Royals,field,Punjab Kings,"(('Arshdeep Singh', 'CH Gayle', 'DJ Hooda', 'JA Richardson', 'KL Rahul', 'M Ashwin', 'M Shahrukh Khan', 'MA Agarwal', 'Mohammed Shami', 'N Pooran', 'RP Meredith'), ('BA Stokes', 'C Sakariya', 'CH Morris', 'JC Buttler', 'M Vohra', 'Mustafizur Rahman', 'R Parag', 'R Tewatia', 'S Dube', 'S Gopal', 'SV Samson'))"
2016-05-17,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"('Delhi Daredevils', 'Rising Pune Supergiants')",Rising Pune Supergiants,field,Rising Pune Supergiants,"(('A Mishra', 'CH Morris', 'JP Duminy', 'KK Nair', 'Mohammed Shami', 'NM Coulter-Nile', 'Q de Kock', 'RR Pant', 'SS Iyer', 'SV Samson', 'Z Khan'), ('A Zampa', 'AB Dinda', 'AM Rahane', 'DL Chahar', 'GJ Bailey', 'IK Pathan', 'MS Dhoni', 'NLTC Perera', 'R Ashwin', 'SS Tiwary', 'UT Khawaja'))"
2015-05-22,JSCA International Stadium Complex,"('Chennai Super Kings', 'Royal Challengers Bangalore')",Chennai Super Kings,field,Chennai Super Kings,"(('A Nehra', 'DJ Bravo', 'DR Smith', 'F du Plessis', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'P Negi', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('AB de Villiers', 'CH Gayle', 'D Wiese', 'HV Patel', 'KD Karthik', 'MA Starc', 'Mandeep Singh', 'S Aravind', 'SN Khan', 'V Kohli', 'YS Chahal'))"
2024-05-26,"MA Chidambaram Stadium, Chepauk, Chennai","('Kolkata Knight Riders', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Kolkata Knight Riders,"(('AD Russell', 'CV Varun', 'Harshit Rana', 'MA Starc', 'RK Singh', 'Rahmanullah Gurbaz', 'Ramandeep Singh', 'SP Narine', 'SS Iyer', 'VG Arora', 'VR Iyer'), ('AK Markram', 'Abdul Samad', 'Abhishek Sharma', 'B Kumar', 'H Klaasen', 'JD Unadkat', 'Nithish Kumar Reddy', 'PJ Cummins', 'RA Tripathi', 'Shahbaz Ahmed', 'T Natarajan', 'TM Head'))"
2008-05-11,"Rajiv Gandhi International Stadium, Uppal","('Deccan Chargers', 'Kolkata Knight Riders')",Kolkata Knight Riders,bat,Kolkata Knight Riders,"(('AC Gilchrist', 'DB Ravi Teja', 'DP Vijaykumar', 'HH Gibbs', 'PP Ojha', 'RG Sharma', 'RP Singh', 'SB Bangar', 'SB Styris', 'WPUJC Vaas', 'Y Venugopal Rao'), ('A Chopra', 'AB Dinda', 'DJ Hussey', 'I Sharma', 'LR Shukla', 'M Kartik', 'SC Ganguly', 'Salman Butt', 'T Taibu', 'Umar Gul', 'WP Saha'))"
2012-04-28,Eden Gardens,"('Kolkata Knight Riders', 'Royal Challengers Bangalore')",Kolkata Knight Riders,bat,Kolkata Knight Riders,"(('B Lee', 'BB McCullum', 'DB Das', 'G Gambhir', 'Iqbal Abdulla', 'JH Kallis', 'LR Shukla', 'MK Tiwary', 'R Bhatia', 'SP Narine', 'YK Pathan'), ('AB de Villiers', 'CH Gayle', 'DL Vettori', 'HV Patel', 'KP Appanna', 'MA Agarwal', 'R Vinay Kumar', 'SS Tiwary', 'TM Dilshan', 'V Kohli', 'Z Khan'))"
2019-04-26,MA Chidambaram Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Chennai Super Kings,field,Mumbai Indians,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'DR Shorey', 'Harbhajan Singh', 'Imran Tahir', 'KM Jadhav', 'M Vijay', 'MJ Santner', 'SK Raina', 'SR Watson'), ('AS Roy', 'E Lewis', 'HH Pandya', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'SL Malinga'))"
2025-04-17,"Wankhede Stadium, Mumbai","('Mumbai Indians', 'Sunrisers Hyderabad')",Mumbai Indians,field,Mumbai Indians,"(('DL Chahar', 'HH Pandya', 'JJ Bumrah', 'KV Sharma', 'MJ Santner', 'Naman Dhir', 'RD Rickelton', 'RG Sharma', 'SA Yadav', 'TA Boult', 'Tilak Varma', 'WG Jacks'), ('Abhishek Sharma', 'Aniket Verma', 'E Malinga', 'H Klaasen', 'HV Patel', 'Ishan Kishan', 'Mohammed Shami', 'Nithish Kumar Reddy', 'PJ Cummins', 'RD Chahar', 'TM Head', 'Zeeshan Ansari'))"
2011-05-03,"Rajiv Gandhi International Stadium, Uppal","('Deccan Chargers', 'Kolkata Knight Riders')",Deccan Chargers,field,Kolkata Knight Riders,"(('A Mishra', 'B Chipli', 'CL White', 'DB Ravi Teja', 'DT Christian', 'DW Steyn', 'I Sharma', 'KC Sangakkara', 'PP Ojha', 'S Dhawan', 'S Sohal'), ('B Lee', 'EJG Morgan', 'G Gambhir', 'Iqbal Abdulla', 'JD Unadkat', 'JH Kallis', 'L Balaji', 'MK Tiwary', 'MV Boucher', 'R Bhatia', 'YK Pathan'))"
2015-04-24,"Sardar Patel Stadium, Motera","('Rajasthan Royals', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('AM Rahane', 'CH Morris', 'DJ Hooda', 'DS Kulkarni', 'JP Faulkner', 'KK Nair', 'PV Tambe', 'SPD Smith', 'SR Watson', 'STR Binny', 'SV Samson'), ('AB de Villiers', 'CH Gayle', 'D Wiese', 'HV Patel', 'Iqbal Abdulla', 'KD Karthik', 'MA Starc', 'Mandeep Singh', 'SN Khan', 'V Kohli', 'YS Chahal'))"
2016-05-19,Green Park,"('Gujarat Lions', 'Kolkata Knight Riders')",Gujarat Lions,field,Gujarat Lions,"(('AJ Finch', 'BB McCullum', 'DJ Bravo', 'DR Smith', 'DS Kulkarni', 'ER Dwivedi', 'KD Karthik', 'P Kumar', 'RA Jadeja', 'SB Jakati', 'SK Raina'), ('AS Rajpoot', 'G Gambhir', 'JO Holder', 'M Morkel', 'MK Pandey', 'PP Chawla', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'Shakib Al Hasan', 'YK Pathan'))"
2014-05-10,Feroz Shah Kotla,"('Delhi Daredevils', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Sunrisers Hyderabad,"(('Imran Tahir', 'JP Duminy', 'KD Karthik', 'KM Jadhav', 'KP Pietersen', 'LR Shukla', 'MA Agarwal', 'Mohammed Shami', 'Q de Kock', 'R Shukla', 'S Kaul'), ('A Mishra', 'AJ Finch', 'B Kumar', 'DA Warner', 'DW Steyn', 'IK Pathan', 'KL Rahul', 'KV Sharma', 'MC Henriques', 'NV Ojha', 'S Dhawan'))"
2012-04-08,Subrata Roy Sahara Stadium,"('Kings XI Punjab', 'Pune Warriors')",Pune Warriors,bat,Pune Warriors,"(('AC Gilchrist', 'AD Mascarenhas', 'AM Nayar', 'Bipul Sharma', 'DJ Hussey', 'Harmeet Singh', 'JP Faulkner', 'Mandeep Singh', 'P Kumar', 'PC Valthaty', 'PP Chawla'), ('A Nehra', 'AB Dinda', 'CJ Ferguson', 'JD Ryder', 'M Kartik', 'MK Pandey', 'MN Samuels', 'R Sharma', 'RV Uthappa', 'SC Ganguly', 'SPD Smith'))"
2020-09-22,Sharjah Cricket Stadium,"('Chennai Super Kings', 'Rajasthan Royals')",Chennai Super Kings,field,Rajasthan Royals,"(('DL Chahar', 'F du Plessis', 'KM Jadhav', 'L Ngidi', 'M Vijay', 'MS Dhoni', 'PP Chawla', 'RA Jadeja', 'RD Gaikwad', 'SM Curran', 'SR Watson'), ('DA Miller', 'JC Archer', 'JD Unadkat', 'R Parag', 'R Tewatia', 'RV Uthappa', 'S Gopal', 'SPD Smith', 'SV Samson', 'TK Curran', 'YBK Jaiswal'))"
2021-09-26,Dubai International Cricket Stadium,"('Mumbai Indians', 'Royal Challengers Bangalore')",Mumbai Indians,field,Royal Challengers Bangalore,"(('AF Milne', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'TA Boult'), ('AB de Villiers', 'D Padikkal', 'DT Christian', 'GJ Maxwell', 'HV Patel', 'KA Jamieson', 'KS Bharat', 'Mohammed Siraj', 'Shahbaz Ahmed', 'V Kohli', 'YS Chahal'))"
2024-05-07,"Arun Jaitley Stadium, Delhi","('Delhi Capitals', 'Rajasthan Royals')",Rajasthan Royals,field,Delhi Capitals,"(('AR Patel', 'Abishek Porel', 'Gulbadin Naib', 'I Sharma', 'J Fraser-McGurk', 'KK Ahmed', 'Kuldeep Yadav', 'Mukesh Kumar', 'RR Pant', 'Rasikh Salam', 'SD Hope', 'T Stubbs'), ('Avesh Khan', 'D Ferreira', 'JC Buttler', 'R Ashwin', 'R Parag', 'R Powell', 'SB Dubey', 'SV Samson', 'Sandeep Sharma', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'))"
2020-09-28,Dubai International Cricket Stadium,"('Mumbai Indians', 'Royal Challengers Bangalore')",Mumbai Indians,field,no-result,"(('HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'JL Pattinson', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'TA Boult'), ('A Zampa', 'AB de Villiers', 'AJ Finch', 'D Padikkal', 'Gurkeerat Singh', 'I Udana', 'NA Saini', 'S Dube', 'V Kohli', 'Washington Sundar', 'YS Chahal'))"
2012-05-14,Eden Gardens,"('Chennai Super Kings', 'Kolkata Knight Riders')",Chennai Super Kings,field,Chennai Super Kings,"(('BW Hilfenhaus', 'DJ Bravo', 'F du Plessis', 'M Vijay', 'MEK Hussey', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Anirudha', 'SB Jakati', 'SK Raina'), ('BB McCullum', 'DB Das', 'G Gambhir', 'JH Kallis', 'L Balaji', 'LR Shukla', 'M de Lange', 'MK Tiwary', 'R Bhatia', 'SP Narine', 'YK Pathan'))"
